barcode_index_matrix,index,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
Anc110BC_35,35,0,0,0,0,1,0,0,0,1,1
Anc110BC_36,36,0,0,0,0,1,0,0,1,0,0
Anc110BC_37,37,0,0,0,0,1,0,0,1,0,1
Anc110BC_38,38,0,0,0,0,1,0,0,1,1,0
Anc110BC_39,39,0,0,0,0,1,0,0,1,1,1
Anc110BC_40,40,0,0,0,0,1,0,1,0,0,0
Anc110BC_41,41,0,0,0,0,1,0,1,0,0,1
Anc110BC_42,42,0,0,0,0,1,0,1,0,1,0
Anc110BC_43,43,0,0,0,0,1,0,1,0,1,1
Anc110BC_44,44,0,0,0,0,1,0,1,1,0,0
Anc110BC_45,45,0,0,0,0,1,0,1,1,0,1
Anc110BC_46,46,0,0,0,0,1,0,1,1,1,0
Anc110BC_47,47,0,0,0,0,1,0,1,1,1,1
Anc110BC_48,48,0,0,0,0,1,1,0,0,0,0
Anc110BC_49,49,0,0,0,0,1,1,0,0,0,1
Anc110BC_50,50,0,0,0,0,1,1,0,0,1,0
Anc110BC_51,51,0,0,0,0,1,1,0,0,1,1
Anc110BC_52,52,0,0,0,0,1,1,0,1,0,0
Anc110BC_53,53,0,0,0,0,1,1,0,1,0,1
Anc110BC_54,54,0,0,0,0,1,1,0,1,1,0
Anc110BC_55,55,0,0,0,0,1,1,0,1,1,1
Anc110BC_56,56,0,0,0,0,1,1,1,0,0,0
Anc110BC_57,57,0,0,0,0,1,1,1,0,0,1
Anc110BC_58,58,0,0,0,0,1,1,1,0,1,0
Anc110BC_59,59,0,0,0,0,1,1,1,0,1,1
Anc110BC_60,60,0,0,0,0,1,1,1,1,0,0
Anc110BC_61,61,0,0,0,0,1,1,1,1,0,1
Anc110BC_62,62,0,0,0,0,1,1,1,1,1,0
Anc110BC_63,63,0,0,0,0,1,1,1,1,1,1
Anc110BC_64,64,0,0,0,1,0,0,0,0,0,0
Anc110BC_65,65,0,0,0,1,0,0,0,0,0,1
Anc110BC_66,66,0,0,0,1,0,0,0,0,1,0
Anc110BC_67,67,0,0,0,1,0,0,0,0,1,1
Anc110BC_68,68,0,0,0,1,0,0,0,1,0,0
Anc110BC_69,69,0,0,0,1,0,0,0,1,0,1
Anc110BC_70,70,0,0,0,1,0,0,0,1,1,0
Anc110BC_71,71,0,0,0,1,0,0,0,1,1,1
Anc110BC_72,72,0,0,0,1,0,0,1,0,0,0
Anc110BC_73,73,0,0,0,1,0,0,1,0,0,1
Anc110BC_74,74,0,0,0,1,0,0,1,0,1,0
Anc110BC_75,75,0,0,0,1,0,0,1,0,1,1
Anc110BC_76,76,0,0,0,1,0,0,1,1,0,0
Anc110BC_77,77,0,0,0,1,0,0,1,1,0,1
Anc110BC_78,78,0,0,0,1,0,0,1,1,1,0
Anc110BC_79,79,0,0,0,1,0,0,1,1,1,1
Anc110BC_80,80,0,0,0,1,0,1,0,0,0,0
Anc110BC_81,81,0,0,0,1,0,1,0,0,0,1
Anc110BC_82,82,0,0,0,1,0,1,0,0,1,0
Anc110BC_83,83,0,0,0,1,0,1,0,0,1,1
Anc110BC_84,84,0,0,0,1,0,1,0,1,0,0
Anc110BC_85,85,0,0,0,1,0,1,0,1,0,1
Anc110BC_86,86,0,0,0,1,0,1,0,1,1,0
Anc110BC_87,87,0,0,0,1,0,1,0,1,1,1
Anc110BC_88,88,0,0,0,1,0,1,1,0,0,0
Anc110BC_89,89,0,0,0,1,0,1,1,0,0,1
Anc110BC_90,90,0,0,0,1,0,1,1,0,1,0
Anc110BC_91,91,0,0,0,1,0,1,1,0,1,1
Anc110BC_92,92,0,0,0,1,0,1,1,1,0,0
Anc110BC_93,93,0,0,0,1,0,1,1,1,0,1
Anc110BC_94,94,0,0,0,1,0,1,1,1,1,0
Anc110BC_95,95,0,0,0,1,0,1,1,1,1,1
Anc110BC_96,96,0,0,0,1,1,0,0,0,0,0
Anc110BC_97,97,0,0,0,1,1,0,0,0,0,1
Anc110BC_98,98,0,0,0,1,1,0,0,0,1,0
Anc110BC_99,99,0,0,0,1,1,0,0,0,1,1
Anc110BC_100,100,0,0,0,1,1,0,0,1,0,0
Anc110BC_101,101,0,0,0,1,1,0,0,1,0,1
Anc110BC_102,102,0,0,0,1,1,0,0,1,1,0
Anc110BC_103,103,0,0,0,1,1,0,0,1,1,1
Anc110BC_104,104,0,0,0,1,1,0,1,0,0,0
Anc110BC_105,105,0,0,0,1,1,0,1,0,0,1
Anc110BC_106,106,0,0,0,1,1,0,1,0,1,0
Anc110BC_107,107,0,0,0,1,1,0,1,0,1,1
Anc110BC_108,108,0,0,0,1,1,0,1,1,0,0
Anc110BC_109,109,0,0,0,1,1,0,1,1,0,1
Anc110BC_110,110,0,0,0,1,1,0,1,1,1,0
Anc110BC_111,111,0,0,0,1,1,0,1,1,1,1
Anc110BC_112,112,0,0,0,1,1,1,0,0,0,0
Anc110BC_113,113,0,0,0,1,1,1,0,0,0,1
Anc110BC_114,114,0,0,0,1,1,1,0,0,1,0
Anc110BC_115,115,0,0,0,1,1,1,0,0,1,1
Anc110BC_116,116,0,0,0,1,1,1,0,1,0,0
Anc110BC_117,117,0,0,0,1,1,1,0,1,0,1
Anc110BC_118,118,0,0,0,1,1,1,0,1,1,0
Anc110BC_119,119,0,0,0,1,1,1,0,1,1,1
Anc110BC_120,120,0,0,0,1,1,1,1,0,0,0
Anc110BC_121,121,0,0,0,1,1,1,1,0,0,1
Anc110BC_122,122,0,0,0,1,1,1,1,0,1,0
Anc110BC_123,123,0,0,0,1,1,1,1,0,1,1
Anc110BC_124,124,0,0,0,1,1,1,1,1,0,0
Anc110BC_125,125,0,0,0,1,1,1,1,1,0,1
Anc110BC_126,126,0,0,0,1,1,1,1,1,1,0
Anc110BC_127,127,0,0,0,1,1,1,1,1,1,1
Anc110BC_128,128,0,0,1,0,0,0,0,0,0,0
Anc110BC_129,129,0,0,1,0,0,0,0,0,0,1
Anc110BC_130,130,0,0,1,0,0,0,0,0,1,0
Anc110BC_131,131,0,0,1,0,0,0,0,0,1,1
Anc110BC_132,132,0,0,1,0,0,0,0,1,0,0
Anc110BC_133,133,0,0,1,0,0,0,0,1,0,1
Anc110BC_134,134,0,0,1,0,0,0,0,1,1,0
Anc110BC_135,135,0,0,1,0,0,0,0,1,1,1
Anc110BC_136,136,0,0,1,0,0,0,1,0,0,0
Anc110BC_137,137,0,0,1,0,0,0,1,0,0,1
Anc110BC_138,138,0,0,1,0,0,0,1,0,1,0
Anc110BC_139,139,0,0,1,0,0,0,1,0,1,1
Anc110BC_140,140,0,0,1,0,0,0,1,1,0,0
Anc110BC_141,141,0,0,1,0,0,0,1,1,0,1
Anc110BC_142,142,0,0,1,0,0,0,1,1,1,0
Anc110BC_143,143,0,0,1,0,0,0,1,1,1,1
Anc110BC_144,144,0,0,1,0,0,1,0,0,0,0
Anc110BC_145,145,0,0,1,0,0,1,0,0,0,1
Anc110BC_146,146,0,0,1,0,0,1,0,0,1,0
Anc110BC_147,147,0,0,1,0,0,1,0,0,1,1
Anc110BC_148,148,0,0,1,0,0,1,0,1,0,0
Anc110BC_149,149,0,0,1,0,0,1,0,1,0,1
Anc110BC_150,150,0,0,1,0,0,1,0,1,1,0
Anc110BC_151,151,0,0,1,0,0,1,0,1,1,1
Anc110BC_152,152,0,0,1,0,0,1,1,0,0,0
Anc110BC_153,153,0,0,1,0,0,1,1,0,0,1
Anc110BC_154,154,0,0,1,0,0,1,1,0,1,0
Anc110BC_155,155,0,0,1,0,0,1,1,0,1,1
Anc110BC_156,156,0,0,1,0,0,1,1,1,0,0
Anc110BC_157,157,0,0,1,0,0,1,1,1,0,1
Anc110BC_158,158,0,0,1,0,0,1,1,1,1,0
Anc110BC_159,159,0,0,1,0,0,1,1,1,1,1
Anc110BC_160,160,0,0,1,0,1,0,0,0,0,0
Anc110BC_161,161,0,0,1,0,1,0,0,0,0,1
Anc110BC_162,162,0,0,1,0,1,0,0,0,1,0
Anc110BC_163,163,0,0,1,0,1,0,0,0,1,1
Anc110BC_164,164,0,0,1,0,1,0,0,1,0,0
Anc110BC_165,165,0,0,1,0,1,0,0,1,0,1
Anc110BC_166,166,0,0,1,0,1,0,0,1,1,0
Anc110BC_167,167,0,0,1,0,1,0,0,1,1,1
Anc110BC_168,168,0,0,1,0,1,0,1,0,0,0
Anc110BC_169,169,0,0,1,0,1,0,1,0,0,1
Anc110BC_170,170,0,0,1,0,1,0,1,0,1,0
Anc110BC_171,171,0,0,1,0,1,0,1,0,1,1
Anc110BC_172,172,0,0,1,0,1,0,1,1,0,0
Anc110BC_173,173,0,0,1,0,1,0,1,1,0,1
Anc110BC_174,174,0,0,1,0,1,0,1,1,1,0
Anc110BC_175,175,0,0,1,0,1,0,1,1,1,1
Anc110BC_176,176,0,0,1,0,1,1,0,0,0,0
Anc110BC_177,177,0,0,1,0,1,1,0,0,0,1
Anc110BC_178,178,0,0,1,0,1,1,0,0,1,0
Anc110BC_179,179,0,0,1,0,1,1,0,0,1,1
Anc110BC_180,180,0,0,1,0,1,1,0,1,0,0
Anc110BC_181,181,0,0,1,0,1,1,0,1,0,1
Anc110BC_182,182,0,0,1,0,1,1,0,1,1,0
Anc110BC_183,183,0,0,1,0,1,1,0,1,1,1
Anc110BC_184,184,0,0,1,0,1,1,1,0,0,0
Anc110BC_185,185,0,0,1,0,1,1,1,0,0,1
Anc110BC_186,186,0,0,1,0,1,1,1,0,1,0
Anc110BC_187,187,0,0,1,0,1,1,1,0,1,1
Anc110BC_188,188,0,0,1,0,1,1,1,1,0,0
Anc110BC_189,189,0,0,1,0,1,1,1,1,0,1
Anc110BC_190,190,0,0,1,0,1,1,1,1,1,0
Anc110BC_191,191,0,0,1,0,1,1,1,1,1,1
Anc110BC_192,192,0,0,1,1,0,0,0,0,0,0
Anc110BC_193,193,0,0,1,1,0,0,0,0,0,1
Anc110BC_194,194,0,0,1,1,0,0,0,0,1,0
Anc110BC_195,195,0,0,1,1,0,0,0,0,1,1
Anc110BC_196,196,0,0,1,1,0,0,0,1,0,0
Anc110BC_197,197,0,0,1,1,0,0,0,1,0,1
Anc110BC_198,198,0,0,1,1,0,0,0,1,1,0
Anc110BC_199,199,0,0,1,1,0,0,0,1,1,1
Anc110BC_200,200,0,0,1,1,0,0,1,0,0,0
Anc110BC_201,201,0,0,1,1,0,0,1,0,0,1
Anc110BC_202,202,0,0,1,1,0,0,1,0,1,0
Anc110BC_203,203,0,0,1,1,0,0,1,0,1,1
Anc110BC_204,204,0,0,1,1,0,0,1,1,0,0
Anc110BC_205,205,0,0,1,1,0,0,1,1,0,1
Anc110BC_206,206,0,0,1,1,0,0,1,1,1,0
Anc110BC_207,207,0,0,1,1,0,0,1,1,1,1
Anc110BC_208,208,0,0,1,1,0,1,0,0,0,0
Anc110BC_209,209,0,0,1,1,0,1,0,0,0,1
Anc110BC_210,210,0,0,1,1,0,1,0,0,1,0
Anc110BC_211,211,0,0,1,1,0,1,0,0,1,1
Anc110BC_212,212,0,0,1,1,0,1,0,1,0,0
Anc110BC_213,213,0,0,1,1,0,1,0,1,0,1
Anc110BC_214,214,0,0,1,1,0,1,0,1,1,0
Anc110BC_215,215,0,0,1,1,0,1,0,1,1,1
Anc110BC_216,216,0,0,1,1,0,1,1,0,0,0
Anc110BC_217,217,0,0,1,1,0,1,1,0,0,1
Anc110BC_218,218,0,0,1,1,0,1,1,0,1,0
Anc110BC_219,219,0,0,1,1,0,1,1,0,1,1
Anc110BC_220,220,0,0,1,1,0,1,1,1,0,0
Anc110BC_221,221,0,0,1,1,0,1,1,1,0,1
Anc110BC_222,222,0,0,1,1,0,1,1,1,1,0
Anc110BC_223,223,0,0,1,1,0,1,1,1,1,1
Anc110BC_224,224,0,0,1,1,1,0,0,0,0,0
Anc110BC_225,225,0,0,1,1,1,0,0,0,0,1
Anc110BC_226,226,0,0,1,1,1,0,0,0,1,0
Anc110BC_227,227,0,0,1,1,1,0,0,0,1,1
Anc110BC_228,228,0,0,1,1,1,0,0,1,0,0
Anc110BC_229,229,0,0,1,1,1,0,0,1,0,1
Anc110BC_230,230,0,0,1,1,1,0,0,1,1,0
Anc110BC_231,231,0,0,1,1,1,0,0,1,1,1
Anc110BC_232,232,0,0,1,1,1,0,1,0,0,0
Anc110BC_233,233,0,0,1,1,1,0,1,0,0,1
Anc110BC_234,234,0,0,1,1,1,0,1,0,1,0
Anc110BC_235,235,0,0,1,1,1,0,1,0,1,1
Anc110BC_236,236,0,0,1,1,1,0,1,1,0,0
Anc110BC_237,237,0,0,1,1,1,0,1,1,0,1
Anc110BC_238,238,0,0,1,1,1,0,1,1,1,0
Anc110BC_239,239,0,0,1,1,1,0,1,1,1,1
Anc110BC_240,240,0,0,1,1,1,1,0,0,0,0
Anc110BC_241,241,0,0,1,1,1,1,0,0,0,1
Anc110BC_242,242,0,0,1,1,1,1,0,0,1,0
Anc110BC_243,243,0,0,1,1,1,1,0,0,1,1
Anc110BC_244,244,0,0,1,1,1,1,0,1,0,0
Anc110BC_245,245,0,0,1,1,1,1,0,1,0,1
Anc110BC_246,246,0,0,1,1,1,1,0,1,1,0
Anc110BC_247,247,0,0,1,1,1,1,0,1,1,1
Anc110BC_248,248,0,0,1,1,1,1,1,0,0,0
Anc110BC_249,249,0,0,1,1,1,1,1,0,0,1
Anc110BC_250,250,0,0,1,1,1,1,1,0,1,0
Anc110BC_251,251,0,0,1,1,1,1,1,0,1,1
Anc110BC_252,252,0,0,1,1,1,1,1,1,0,0
Anc110BC_253,253,0,0,1,1,1,1,1,1,0,1
Anc110BC_254,254,0,0,1,1,1,1,1,1,1,0
Anc110BC_255,255,0,0,1,1,1,1,1,1,1,1
Anc110BC_256,256,0,1,0,0,0,0,0,0,0,0
Anc110BC_257,257,0,1,0,0,0,0,0,0,0,1
Anc110BC_258,258,0,1,0,0,0,0,0,0,1,0
Anc110BC_259,259,0,1,0,0,0,0,0,0,1,1
Anc110BC_260,260,0,1,0,0,0,0,0,1,0,0
Anc110BC_261,261,0,1,0,0,0,0,0,1,0,1
Anc110BC_262,262,0,1,0,0,0,0,0,1,1,0
Anc110BC_263,263,0,1,0,0,0,0,0,1,1,1
Anc110BC_264,264,0,1,0,0,0,0,1,0,0,0
Anc110BC_265,265,0,1,0,0,0,0,1,0,0,1
Anc110BC_266,266,0,1,0,0,0,0,1,0,1,0
Anc110BC_267,267,0,1,0,0,0,0,1,0,1,1
Anc110BC_268,268,0,1,0,0,0,0,1,1,0,0
Anc110BC_269,269,0,1,0,0,0,0,1,1,0,1
Anc110BC_270,270,0,1,0,0,0,0,1,1,1,0
Anc110BC_271,271,0,1,0,0,0,0,1,1,1,1
Anc110BC_272,272,0,1,0,0,0,1,0,0,0,0
Anc110BC_273,273,0,1,0,0,0,1,0,0,0,1
Anc110BC_274,274,0,1,0,0,0,1,0,0,1,0
Anc110BC_275,275,0,1,0,0,0,1,0,0,1,1
Anc110BC_276,276,0,1,0,0,0,1,0,1,0,0
Anc110BC_277,277,0,1,0,0,0,1,0,1,0,1
Anc110BC_278,278,0,1,0,0,0,1,0,1,1,0
Anc110BC_279,279,0,1,0,0,0,1,0,1,1,1
Anc110BC_280,280,0,1,0,0,0,1,1,0,0,0
Anc110BC_281,281,0,1,0,0,0,1,1,0,0,1
Anc110BC_282,282,0,1,0,0,0,1,1,0,1,0
Anc110BC_283,283,0,1,0,0,0,1,1,0,1,1
Anc110BC_284,284,0,1,0,0,0,1,1,1,0,0
Anc110BC_285,285,0,1,0,0,0,1,1,1,0,1
Anc110BC_286,286,0,1,0,0,0,1,1,1,1,0
Anc110BC_287,287,0,1,0,0,0,1,1,1,1,1
Anc110BC_288,288,0,1,0,0,1,0,0,0,0,0
Anc110BC_289,289,0,1,0,0,1,0,0,0,0,1
Anc110BC_290,290,0,1,0,0,1,0,0,0,1,0
Anc110BC_291,291,0,1,0,0,1,0,0,0,1,1
Anc110BC_292,292,0,1,0,0,1,0,0,1,0,0
Anc110BC_293,293,0,1,0,0,1,0,0,1,0,1
Anc110BC_294,294,0,1,0,0,1,0,0,1,1,0
Anc110BC_295,295,0,1,0,0,1,0,0,1,1,1
Anc110BC_296,296,0,1,0,0,1,0,1,0,0,0
Anc110BC_297,297,0,1,0,0,1,0,1,0,0,1
Anc110BC_298,298,0,1,0,0,1,0,1,0,1,0
Anc110BC_299,299,0,1,0,0,1,0,1,0,1,1
Anc110BC_300,300,0,1,0,0,1,0,1,1,0,0
Anc110BC_301,301,0,1,0,0,1,0,1,1,0,1
Anc110BC_302,302,0,1,0,0,1,0,1,1,1,0
Anc110BC_303,303,0,1,0,0,1,0,1,1,1,1
Anc110BC_304,304,0,1,0,0,1,1,0,0,0,0
Anc110BC_305,305,0,1,0,0,1,1,0,0,0,1
Anc110BC_306,306,0,1,0,0,1,1,0,0,1,0
Anc110BC_307,307,0,1,0,0,1,1,0,0,1,1
Anc110BC_308,308,0,1,0,0,1,1,0,1,0,0
Anc110BC_309,309,0,1,0,0,1,1,0,1,0,1
Anc110BC_310,310,0,1,0,0,1,1,0,1,1,0
Anc110BC_311,311,0,1,0,0,1,1,0,1,1,1
Anc110BC_312,312,0,1,0,0,1,1,1,0,0,0
Anc110BC_313,313,0,1,0,0,1,1,1,0,0,1
Anc110BC_314,314,0,1,0,0,1,1,1,0,1,0
Anc110BC_315,315,0,1,0,0,1,1,1,0,1,1
Anc110BC_316,316,0,1,0,0,1,1,1,1,0,0
Anc110BC_317,317,0,1,0,0,1,1,1,1,0,1
Anc110BC_318,318,0,1,0,0,1,1,1,1,1,0
Anc110BC_319,319,0,1,0,0,1,1,1,1,1,1
Anc110BC_320,320,0,1,0,1,0,0,0,0,0,0
Anc110BC_321,321,0,1,0,1,0,0,0,0,0,1
Anc110BC_322,322,0,1,0,1,0,0,0,0,1,0
Anc110BC_323,323,0,1,0,1,0,0,0,0,1,1
Anc110BC_324,324,0,1,0,1,0,0,0,1,0,0
Anc110BC_325,325,0,1,0,1,0,0,0,1,0,1
Anc110BC_326,326,0,1,0,1,0,0,0,1,1,0
Anc110BC_327,327,0,1,0,1,0,0,0,1,1,1
Anc110BC_328,328,0,1,0,1,0,0,1,0,0,0
Anc110BC_329,329,0,1,0,1,0,0,1,0,0,1
Anc110BC_330,330,0,1,0,1,0,0,1,0,1,0
Anc110BC_331,331,0,1,0,1,0,0,1,0,1,1
Anc110BC_332,332,0,1,0,1,0,0,1,1,0,0
Anc110BC_333,333,0,1,0,1,0,0,1,1,0,1
Anc110BC_334,334,0,1,0,1,0,0,1,1,1,0
Anc110BC_335,335,0,1,0,1,0,0,1,1,1,1
Anc110BC_336,336,0,1,0,1,0,1,0,0,0,0
Anc110BC_337,337,0,1,0,1,0,1,0,0,0,1
Anc110BC_338,338,0,1,0,1,0,1,0,0,1,0
Anc110BC_339,339,0,1,0,1,0,1,0,0,1,1
Anc110BC_340,340,0,1,0,1,0,1,0,1,0,0
Anc110BC_341,341,0,1,0,1,0,1,0,1,0,1
Anc110BC_342,342,0,1,0,1,0,1,0,1,1,0
Anc110BC_343,343,0,1,0,1,0,1,0,1,1,1
Anc110BC_344,344,0,1,0,1,0,1,1,0,0,0
Anc110BC_345,345,0,1,0,1,0,1,1,0,0,1
Anc110BC_346,346,0,1,0,1,0,1,1,0,1,0
Anc110BC_347,347,0,1,0,1,0,1,1,0,1,1
Anc110BC_348,348,0,1,0,1,0,1,1,1,0,0
Anc110BC_349,349,0,1,0,1,0,1,1,1,0,1
Anc110BC_350,350,0,1,0,1,0,1,1,1,1,0
Anc110BC_351,351,0,1,0,1,0,1,1,1,1,1
Anc110BC_352,352,0,1,0,1,1,0,0,0,0,0
Anc110BC_353,353,0,1,0,1,1,0,0,0,0,1
Anc110BC_354,354,0,1,0,1,1,0,0,0,1,0
Anc110BC_355,355,0,1,0,1,1,0,0,0,1,1
Anc110BC_356,356,0,1,0,1,1,0,0,1,0,0
Anc110BC_357,357,0,1,0,1,1,0,0,1,0,1
Anc110BC_358,358,0,1,0,1,1,0,0,1,1,0
Anc110BC_359,359,0,1,0,1,1,0,0,1,1,1
Anc110BC_360,360,0,1,0,1,1,0,1,0,0,0
Anc110BC_361,361,0,1,0,1,1,0,1,0,0,1
Anc110BC_362,362,0,1,0,1,1,0,1,0,1,0
Anc110BC_363,363,0,1,0,1,1,0,1,0,1,1
Anc110BC_364,364,0,1,0,1,1,0,1,1,0,0
Anc110BC_365,365,0,1,0,1,1,0,1,1,0,1
Anc110BC_366,366,0,1,0,1,1,0,1,1,1,0
Anc110BC_367,367,0,1,0,1,1,0,1,1,1,1
Anc110BC_368,368,0,1,0,1,1,1,0,0,0,0
Anc110BC_369,369,0,1,0,1,1,1,0,0,0,1
Anc110BC_370,370,0,1,0,1,1,1,0,0,1,0
Anc110BC_371,371,0,1,0,1,1,1,0,0,1,1
Anc110BC_372,372,0,1,0,1,1,1,0,1,0,0
Anc110BC_373,373,0,1,0,1,1,1,0,1,0,1
Anc110BC_374,374,0,1,0,1,1,1,0,1,1,0
Anc110BC_375,375,0,1,0,1,1,1,0,1,1,1
Anc110BC_376,376,0,1,0,1,1,1,1,0,0,0
Anc110BC_377,377,0,1,0,1,1,1,1,0,0,1
Anc110BC_378,378,0,1,0,1,1,1,1,0,1,0
Anc110BC_379,379,0,1,0,1,1,1,1,0,1,1
Anc110BC_380,380,0,1,0,1,1,1,1,1,0,0
Anc110BC_381,381,0,1,0,1,1,1,1,1,0,1
Anc110BC_382,382,0,1,0,1,1,1,1,1,1,0
Anc110BC_383,383,0,1,0,1,1,1,1,1,1,1
Anc110BC_384,384,0,1,1,0,0,0,0,0,0,0
Anc110BC_385,385,0,1,1,0,0,0,0,0,0,1
Anc110BC_386,386,0,1,1,0,0,0,0,0,1,0
Anc110BC_387,387,0,1,1,0,0,0,0,0,1,1
Anc110BC_388,388,0,1,1,0,0,0,0,1,0,0
Anc110BC_389,389,0,1,1,0,0,0,0,1,0,1
Anc110BC_390,390,0,1,1,0,0,0,0,1,1,0
Anc110BC_391,391,0,1,1,0,0,0,0,1,1,1
Anc110BC_392,392,0,1,1,0,0,0,1,0,0,0
Anc110BC_393,393,0,1,1,0,0,0,1,0,0,1
Anc110BC_394,394,0,1,1,0,0,0,1,0,1,0
Anc110BC_395,395,0,1,1,0,0,0,1,0,1,1
Anc110BC_396,396,0,1,1,0,0,0,1,1,0,0
Anc110BC_397,397,0,1,1,0,0,0,1,1,0,1
Anc110BC_398,398,0,1,1,0,0,0,1,1,1,0
Anc110BC_399,399,0,1,1,0,0,0,1,1,1,1
Anc110BC_400,400,0,1,1,0,0,1,0,0,0,0
Anc110BC_401,401,0,1,1,0,0,1,0,0,0,1
Anc110BC_402,402,0,1,1,0,0,1,0,0,1,0
Anc110BC_403,403,0,1,1,0,0,1,0,0,1,1
Anc110BC_404,404,0,1,1,0,0,1,0,1,0,0
Anc110BC_405,405,0,1,1,0,0,1,0,1,0,1
Anc110BC_406,406,0,1,1,0,0,1,0,1,1,0
Anc110BC_407,407,0,1,1,0,0,1,0,1,1,1
Anc110BC_408,408,0,1,1,0,0,1,1,0,0,0
Anc110BC_409,409,0,1,1,0,0,1,1,0,0,1
Anc110BC_410,410,0,1,1,0,0,1,1,0,1,0
Anc110BC_411,411,0,1,1,0,0,1,1,0,1,1
Anc110BC_412,412,0,1,1,0,0,1,1,1,0,0
Anc110BC_413,413,0,1,1,0,0,1,1,1,0,1
Anc110BC_414,414,0,1,1,0,0,1,1,1,1,0
Anc110BC_415,415,0,1,1,0,0,1,1,1,1,1
Anc110BC_416,416,0,1,1,0,1,0,0,0,0,0
Anc110BC_417,417,0,1,1,0,1,0,0,0,0,1
Anc110BC_418,418,0,1,1,0,1,0,0,0,1,0
Anc110BC_419,419,0,1,1,0,1,0,0,0,1,1
Anc110BC_420,420,0,1,1,0,1,0,0,1,0,0
Anc110BC_421,421,0,1,1,0,1,0,0,1,0,1
Anc110BC_422,422,0,1,1,0,1,0,0,1,1,0
Anc110BC_423,423,0,1,1,0,1,0,0,1,1,1
Anc110BC_424,424,0,1,1,0,1,0,1,0,0,0
Anc110BC_425,425,0,1,1,0,1,0,1,0,0,1
Anc110BC_426,426,0,1,1,0,1,0,1,0,1,0
Anc110BC_427,427,0,1,1,0,1,0,1,0,1,1
Anc110BC_428,428,0,1,1,0,1,0,1,1,0,0
Anc110BC_429,429,0,1,1,0,1,0,1,1,0,1
Anc110BC_430,430,0,1,1,0,1,0,1,1,1,0
Anc110BC_431,431,0,1,1,0,1,0,1,1,1,1
Anc110BC_432,432,0,1,1,0,1,1,0,0,0,0
Anc110BC_433,433,0,1,1,0,1,1,0,0,0,1
Anc110BC_434,434,0,1,1,0,1,1,0,0,1,0
Anc110BC_435,435,0,1,1,0,1,1,0,0,1,1
Anc110BC_436,436,0,1,1,0,1,1,0,1,0,0
Anc110BC_437,437,0,1,1,0,1,1,0,1,0,1
Anc110BC_438,438,0,1,1,0,1,1,0,1,1,0
Anc110BC_439,439,0,1,1,0,1,1,0,1,1,1
Anc110BC_440,440,0,1,1,0,1,1,1,0,0,0
Anc110BC_441,441,0,1,1,0,1,1,1,0,0,1
Anc110BC_442,442,0,1,1,0,1,1,1,0,1,0
Anc110BC_443,443,0,1,1,0,1,1,1,0,1,1
Anc110BC_444,444,0,1,1,0,1,1,1,1,0,0
Anc110BC_445,445,0,1,1,0,1,1,1,1,0,1
Anc110BC_446,446,0,1,1,0,1,1,1,1,1,0
Anc110BC_447,447,0,1,1,0,1,1,1,1,1,1
